 ,Area,Mean,Min,Max,X,Y,Slice
302,0,72,72,72,3328.859,486.577,13
303,0,45,45,45,3335.570,500,13
304,0,65,65,65,3308.725,483.221,13
305,0,75,75,75,3315.436,503.356,13
306,0,28,28,28,3281.879,483.221,13
307,0,59,59,59,3291.946,506.711,13
308,0,32,32,32,3261.745,479.866,13
309,0,52,52,52,3268.457,500,13
310,0,94,94,94,3251.678,493.289,13
311,0,71,71,71,3221.477,500,13
312,0,82,82,82,3197.987,479.866,13
313,0,84,84,84,3204.698,506.711,13
314,0,101,101,101,3181.208,500,13
315,0,95,95,95,3161.074,493.289,13
316,0,23,23,23,3164.430,469.799,13
317,0,58,58,58,3278.523,392.617,13
318,0,29,29,29,3107.382,379.195,13
319,0,72,72,72,2902.685,379.195,13
320,0,8,8,8,2966.443,573.826,13
321,0,9,9,9,2909.396,570.470,13
322,0,57,57,57,2892.617,563.758,13
323,0,31,31,31,2906.040,510.067,13
324,0,10,10,10,2885.906,486.577,13
325,0,18,18,18,2845.638,456.376,13
326,0,16,16,16,2838.926,486.577,13
327,0,10,10,10,2865.772,580.537,13
328,0,34,34,34,2835.570,573.826,13
329,0,84,84,84,2802.014,573.826,13
330,0,30,30,30,2761.745,573.826,13
331,0,70,70,70,2751.678,550.336,13
332,0,71,71,71,2744.966,459.732,13
333,0,84,84,84,2728.188,449.664,13
334,0,8,8,8,2704.698,446.309,13
335,0,22,22,22,2744.966,513.423,13
336,0,65,65,65,2738.255,493.289,13
337,0,63,63,63,2721.477,486.577,13
338,0,54,54,54,2724.833,466.443,13
339,0,51,51,51,2711.410,463.087,13
340,0,9,9,9,2694.631,473.154,13
341,0,7,7,7,2691.275,489.933,13
342,0,11,11,11,2677.853,463.087,13
343,0,27,27,27,2684.564,446.309,13
344,0,51,51,51,2664.430,530.201,13
345,0,52,52,52,2664.430,560.403,13
346,0,35,35,35,2644.295,553.691,13
347,0,60,60,60,2637.584,520.134,13
348,0,50,50,50,2614.094,526.846,13
349,0,41,41,41,2617.450,546.980,13
350,0,42,42,42,2617.450,560.403,13
351,0,38,38,38,2624.161,580.537,13
352,0,14,14,14,2593.960,543.624,13
353,0,56,56,56,2587.249,560.403,13
354,0,34,34,34,2587.249,463.087,13
355,0,62,62,62,2583.893,479.866,13
356,0,13,13,13,2587.249,496.644,13
357,0,31,31,31,2567.114,469.799,13
358,0,49,49,49,2567.114,479.866,13
359,0,12,12,12,2573.826,506.711,13
360,0,28,28,28,2557.047,520.134,13
361,0,8,8,8,2530.201,536.913,13
362,0,62,62,62,2523.490,546.980,13
363,0,33,33,33,2550.335,536.913,13
364,0,39,39,39,2533.557,520.134,13
365,0,46,46,46,2543.624,503.356,13
366,0,57,57,57,2553.691,503.356,13
367,0,24,24,24,2550.335,483.221,13
368,0,46,46,46,2859.061,362.416,13
369,0,53,53,53,2486.577,446.309,13
370,0,103,103,103,2500,453.020,13
371,0,31,31,31,2516.779,473.154,13
372,0,105,105,105,2496.645,466.443,13
373,0,38,38,38,2476.510,463.087,13
374,0,64,64,64,2476.510,479.866,13
375,0,91,91,91,2489.933,479.866,13
376,0,78,78,78,2503.356,483.221,13
377,0,96,96,96,2503.356,496.644,13
378,0,69,69,69,2489.933,493.289,13
379,0,44,44,44,2463.087,493.289,13
380,0,97,97,97,2496.645,506.711,13
381,0,12,12,12,2476.510,503.356,13
382,0,32,32,32,2483.222,526.846,13
383,0,23,23,23,2466.443,516.779,13
384,0,28,28,28,2449.665,506.711,13
385,0,97,97,97,2456.376,526.846,13
386,0,64,64,64,2463.087,540.268,13
387,0,40,40,40,2442.953,543.624,13
388,0,70,70,70,2399.329,543.624,13
389,0,55,55,55,2392.617,523.490,13
390,0,15,15,15,2395.973,506.711,13
391,0,49,49,49,2412.752,506.711,13
392,0,55,55,55,2406.040,493.289,13
393,0,85,85,85,2402.685,483.221,13
394,0,84,84,84,2395.973,466.443,13
395,0,65,65,65,2406.040,453.020,13
396,0,33,33,33,2422.819,456.376,13
397,0,49,49,49,2419.463,473.154,13
398,0,92,92,92,2416.107,439.597,13
399,0,90,90,90,2402.685,432.886,13
400,0,98,98,98,2385.906,446.309,13
401,0,19,19,19,2369.127,456.376,13
